id;token;creation;expiration;usage_limit;current_usage;renewable;num_access_ips
1;0082985e-a116-490d-b110-567930e20953;2019-08-23T01:37:27;2019-08-23T16:11:57;84865;97656;false;74288
2;94e87d5d-4b12-41c6-8b5a-90fb1c5f96e2;2019-08-23T14:48:08;2019-08-23T20:08:30;57885;81935;true;16963
3;81df463a-c12e-4c09-a200-a29b33be0e63;2019-08-23T11:46:56;2019-08-23T16:52:19;21115;88915;false;60745
4;b49d3708-e6ef-47d9-b2b5-d4ad4033a075;2019-08-23T11:56:35;2019-08-23T12:30:29;36052;53885;false;91878
5;e1121ecb-7a1b-429e-beac-70e1f4425413;2019-08-23T12:45:26;2019-08-23T07:16:45;98768;1373;true;93947
6;21a57d0a-9f4c-4c73-998a-fe1e40aaadc7;2019-08-23T03:46:42;2019-08-23T16:47:32;66062;89168;true;81937
7;618fc7fe-d758-4fae-b983-94d074336086;2019-08-23T11:55:32;2019-08-23T01:31:11;61983;90028;false;57362
8;5d2a641f-4d16-4720-b547-5a4fabeae970;2019-08-23T20:36:18;2019-08-23T07:00:35;35972;7201;true;58930
9;81bcc8cc-23a8-43ba-af91-307a182e8246;2019-08-23T15:29:07;2019-08-22T21:29:50;77440;50497;false;77252
10;677a19ea-0d9e-4fb8-9730-77b9fc438e8b;2019-08-23T09:17:21;2019-08-23T01:15:41;78959;88606;false;79870
